,p1,p2,p3,p4,p5,p6,p7,trend,aic,mse
PMV.AX,0,0.0,0,1,1.0,1.0,12.0,t,296.057706148927,0.003623596213657265
KMD.AX,0,1.0,0,1,1.0,0.0,12.0,ct,-93.84563902124687,0.00036584393390004516
NBL.AX,0,0.0,0,0,0.0,1.0,12.0,c,100.9154272160539,0.005128623496482909
SBB.AX,0,1.0,1,0,0.0,0.0,12.0,n,-1003.1929229044088,4.2540842376537213e-11
BRK.AX,0,0.0,0,1,1.0,0.0,12.0,n,-640.8518473858729,3.048737508776385e-05
MPX.AX,0,1.0,0,0,1.0,0.0,12.0,n,-476.91883324747056,5.551115123125783e-17
ICG.AX,0,0.0,0,1,1.0,0.0,12.0,n,-786.5367224602519,3.8899439225303916e-14
CLA.AX,1,0.0,1,0,0.0,1.0,12.0,c,-460.4442222428762,4.0531315770735855e-05
ORG.AX,1,0.0,0,1,0.0,1.0,12.0,ct,28.75422831437488,0.002702706142379441
ANZ.AX,1,1.0,1,1,1.0,1.0,12.0,t,150.7969819465749,0.0013194336862518696
XRF.AX,1,1.0,1,1,0.0,0.0,12.0,ct,-591.4579048739963,7.632986022612642e-05
WOW.AX,1,1.0,1,1,1.0,1.0,12.0,ct,96.92249094547621,0.15263015025648485
WAT.AX,1,0.0,1,0,0.0,1.0,12.0,t,-267.25501497787184,0.004332701661415639
QBE.AX,1,0.0,1,0,1.0,0.0,12.0,ct,54.01137332272644,0.002568460620491209
BXB.AX,0,0.0,0,1,0.0,0.0,12.0,t,200.16747771540423,0.01787355805494073
BHP.AX,0,0.0,0,1,1.0,0.0,12.0,n,360.5714333577848,0.012460329273913828
STO.AX,1,0.0,1,1,1.0,0.0,12.0,ct,-5.681867903607024,0.002099318049165077
MQG.AX,0,0.0,0,1,1.0,0.0,12.0,ct,514.5835246059075,0.3604271961555981
MCX.AX,0,0.0,1,1,0.0,1.0,12.0,c,-634.417251715905,8.486712382446691e-06
KTE.AX,1,0.0,1,0,1.0,0.0,12.0,n,-831.1226517416393,5.950093535377586e-06
IPT.AX,0,1.0,0,0,0.0,0.0,12.0,c,-173.64747620874738,0.00011379688651055051
WPL.AX,1,0.0,1,1,1.0,0.0,12.0,c,193.7285764991576,0.004838505484499933
WHC.AX,1,0.0,1,0,0.0,0.0,12.0,t,-78.19303984509982,0.0007044280122716629
WES.AX,1,1.0,0,0,1.0,0.0,12.0,ct,186.49462526569263,0.0021568394581095163
VMS.AX,0,0.0,1,0,0.0,1.0,12.0,ct,-588.3333410264752,0.00021526635916037373
VKA.AX,0,0.0,1,0,1.0,0.0,12.0,c,-43.66114331464707,0.0008812913712795738
UCW.AX,0,0.0,1,0,0.0,1.0,12.0,n,-226.0490635442363,0.005732851820818993
TZL.AX,0,0.0,1,0,1.0,0.0,12.0,t,-18.419041395809426,0.010624427497544149
TLS.AX,0,1.0,1,0,1.0,1.0,12.0,c,-138.17385186241637,5.85489065607625e-05
SXL.AX,1,0.0,1,0,0.0,1.0,12.0,c,-331.7156423317078,0.00017893380445488383
REA.AX,1,1.0,0,1,1.0,1.0,12.0,t,333.62023179393503,0.0016221669770430935
NMS.AX,0,1.0,1,0,0.0,0.0,12.0,n,-347.8490957659017,0.00016456813591617103
NME.AX,0,0.0,0,1,1.0,1.0,12.0,t,-499.44250712278915,0.0001122853853129102
NAB.AX,1,1.0,0,1,1.0,0.0,12.0,ct,124.73597001406807,0.0952672540874886
LER.AX,0,0.0,0,0,0.0,1.0,12.0,n,-265.8947846375061,0.0005285730396238676
LCT.AX,1,0.0,1,1,0.0,1.0,12.0,ct,-375.5974913748937,1.3050917359924695e-05
LAU.AX,0,1.0,0,1,1.0,0.0,12.0,ct,-406.0846140435029,1.9426054481797014e-05
KOV.AX,0,0.0,1,1,1.0,1.0,12.0,n,-61.64138149995719,0.0007362253774854113
KME.AX,0,0.0,1,1,1.0,0.0,12.0,ct,-252.8681464718516,0.0003317252980413743
KBC.AX,0,1.0,0,0,0.0,1.0,12.0,t,-744.3784911482596,5.823279335404052e-07
IRI.AX,0,1.0,0,0,1.0,0.0,12.0,t,-42.07574659672254,0.0013737730133365213
HIL.AX,0,0.0,1,1,1.0,0.0,12.0,ct,-376.28712767383416,0.0002164523262360718
CPU.AX,1,0.0,1,1,1.0,1.0,12.0,t,87.30632627604164,0.0017317149132090035
CMW.AX,1,0.0,1,0,1.0,1.0,12.0,ct,-260.321934091662,0.02143390488709396
CBA.AX,1,0.0,1,1,1.0,0.0,12.0,n,267.2879413470199,0.007127493918034134
ANN.AX,1,0.0,0,0,1.0,0.0,12.0,t,248.62445489533118,0.00023771895999402667
ZGL.AX,0,0.0,1,0,0.0,1.0,12.0,c,-433.33187421446337,0.0004432860240521364
WSA.AX,0,0.0,0,1,0.0,0.0,12.0,t,113.33210156481613,0.001147387655421106
WOR.AX,0,0.0,1,0,1.0,0.0,12.0,ct,293.4905997287497,0.0006619806195367063
WEC.AX,0,0.0,0,0,0.0,0.0,12.0,ct,-553.0771636914791,0.0003608508821534018
WBC.AX,1,0.0,0,0,1.0,0.0,12.0,t,187.79522712873955,0.006722123405211278
WBA.AX,0,0.0,0,1,1.0,1.0,12.0,ct,-113.32263246699131,0.008363572717894785
VII.AX,1,1.0,0,0,1.0,0.0,12.0,n,-448.0859563110001,1.1102230246251563e-16
TPM.AX,0,0.0,0,0,0.0,0.0,12.0,n,2.0,6.25
TGR.AX,0,0.0,0,1,0.0,0.0,12.0,n,44.577636911068716,0.010161061240839151
TCN.AX,1,0.0,1,0,1.0,0.0,12.0,t,-760.5196654354829,7.633098748616868e-06
TCL.AX,0,1.0,1,1,1.0,0.0,12.0,t,-1.2432567500794978,0.0042593514158522075
SUD.AX,1,0.0,1,0,0.0,1.0,12.0,ct,-884.3905313505977,1.1373001909079085e-05
RRS.AX,0,1.0,1,0,0.0,0.0,12.0,n,-206.85027169048664,4.387042135166677e-09
RHC.AX,1,0.0,1,0,1.0,1.0,12.0,c,254.54865029671018,0.010457110701167949
PLS.AX,0,0.0,1,1,0.0,1.0,12.0,n,-100.01666797761436,0.00026219442849262364
OZL.AX,0,0.0,1,0,0.0,0.0,12.0,c,138.21422686707086,0.02039904978278351
OKU.AX,0,0.0,1,0,1.0,0.0,12.0,t,-12.620388041949813,0.00930811107877375
NSX.AX,0,1.0,1,0,0.0,0.0,12.0,ct,-74.35203400230237,0.0034739139202441807
NML.AX,1,1.0,1,0,0.0,1.0,12.0,c,-570.8945869276142,2.593302864709046e-05
MYR.AX,1,0.0,0,1,1.0,1.0,12.0,n,-266.1085206006707,0.006041018258500674
MOC.AX,1,0.0,0,1,0.0,0.0,12.0,n,-196.4353058413152,0.00012059117789697815
MMR.AX,1,0.0,1,0,1.0,1.0,12.0,t,-733.1216416249582,2.3540405644910736e-05
KKT.AX,1,1.0,1,1,0.0,0.0,12.0,c,-27.214115045212026,0.001705491154292264
KAS.AX,1,1.0,1,0,0.0,1.0,12.0,t,-510.6383157384629,1.8344113912951991e-06
JRV.AX,0,1.0,1,1,0.0,0.0,12.0,ct,-26.281512242492518,0.0016354847222940427
IMU.AX,0,0.0,1,0,1.0,0.0,12.0,n,-649.2661325186906,1.3683342022542674e-05
ILU.AX,0,0.0,0,1,1.0,0.0,12.0,ct,255.74823763156186,0.09299394643686654
HVN.AX,1,0.0,1,1,0.0,0.0,12.0,ct,-135.86574640279542,0.02663045596679581
GNC.AX,0,0.0,0,0,0.0,0.0,12.0,c,196.4512341830748,0.07654185780675782
GML.AX,1,1.0,1,0,0.0,0.0,12.0,ct,-150.3507901790324,0.0005873065166615611
GID.AX,1,0.0,0,1,0.0,0.0,12.0,n,-724.1475094184503,1.6456262008197886e-05
COH.AX,0,0.0,0,0,0.0,0.0,12.0,ct,770.6199534981058,0.1008227522826246
SPX.AX,0,1.0,0,0,1.0,0.0,12.0,c,-780.7467422259294,2.037557837057669e-05
BLD.AX,1,0.0,0,1,1.0,1.0,12.0,c,-23.250566972213694,0.00019780354291043523
BEN.AX,1,0.0,1,1,0.0,0.0,12.0,c,6.023385051690817,0.010798458994665694
ASX.AX,0,0.0,1,1,0.0,1.0,12.0,t,646.8082847545694,0.08828943374832933
AMP.AX,1,1.0,0,1,1.0,0.0,12.0,t,-118.93584362487029,3.206283911527663e-05
YAL.AX,1,0.0,0,1,0.0,1.0,12.0,ct,-24.30979253433577,0.0016268159194199328
XTD.AX,1,0.0,0,0,1.0,1.0,12.0,ct,-559.1706640516582,8.77581811360717e-06
UOS.AX,1,0.0,0,0,0.0,1.0,12.0,ct,-472.8037259782255,1.2811155679970375e-05
UCM.AX,0,0.0,0,0,0.0,1.0,12.0,c,-313.45230331852315,8.484124280438987e-05
UBI.AX,0,0.0,0,1,0.0,1.0,12.0,c,-442.61321968681483,1.7121911382422805e-05
TZN.AX,1,0.0,1,1,1.0,1.0,12.0,c,-490.75282579995394,5.269073621927412e-05
TWE.AX,0,0.0,0,1,1.0,1.0,12.0,t,266.2942453837647,0.020274935112805537
SIQ.AX,1,1.0,0,0,1.0,0.0,12.0,c,136.80432202003715,0.0016774007310491614
SHV.AX,0,0.0,0,1,0.0,0.0,12.0,n,217.7209020771817,0.002336043811977717
SEN.AX,0,0.0,1,1,0.0,0.0,12.0,c,-544.1111360032908,0.0001238365137726516
SDF.AX,1,0.0,0,1,0.0,0.0,12.0,ct,-154.99789631319797,0.001041591472418446
SBM.AX,1,0.0,0,0,1.0,1.0,12.0,t,-14.368514547932095,2.468164533109274e-05
RIO.AX,1,1.0,0,0,1.0,1.0,12.0,t,304.2410841515682,0.00969986087699226
PYC.AX,0,0.0,0,1,1.0,1.0,12.0,c,-558.9331164638608,1.0694586386757186e-05
PSA.AX,0,0.0,0,0,1.0,0.0,12.0,ct,-45.02410200271668,0.0032952122946068928
PPT.AX,0,1.0,1,0,1.0,0.0,12.0,c,326.76616829469526,0.011332736767066365
PEK.AX,0,1.0,1,1,1.0,1.0,12.0,t,-549.741743217607,3.6076225758685516e-06
PDN.AX,1,0.0,1,1,1.0,0.0,12.0,c,-399.08050133378526,1.9013255083313862e-05
PBP.AX,0,0.0,1,1,0.0,0.0,12.0,n,-126.40301043173157,0.0002823021102800194
PAN.AX,1,1.0,0,1,0.0,0.0,12.0,ct,-334.86254891213133,2.5862750488991892e-05
ORI.AX,0,1.0,0,0,1.0,0.0,12.0,ct,169.8772487429874,0.04149160818440478
OFX.AX,0,1.0,0,0,1.0,1.0,12.0,t,-148.3340590381116,0.0006506173278171268
NTM.AX,0,0.0,0,0,1.0,0.0,12.0,n,-586.3282912735182,1.3038516030738913e-09
NHF.AX,1,1.0,0,1,0.0,0.0,12.0,n,-48.637606167259634,5.695988831089238e-05
MYX.AX,1,1.0,0,1,1.0,0.0,12.0,c,-221.3883948879339,2.277484644375161e-05
MNY.AX,1,0.0,0,1,1.0,0.0,12.0,c,-153.86890028981418,0.0003359190404736978
LTR.AX,0,0.0,0,0,0.0,0.0,12.0,t,-519.3128180542997,0.012626698256809996
LIC.AX,0,0.0,1,0,0.0,0.0,12.0,ct,9.437684337100604,0.012277367851093679
LBT.AX,1,0.0,0,1,0.0,1.0,12.0,c,-533.6369581856653,0.000170171969030658
KPC.AX,1,0.0,0,0,0.0,0.0,12.0,n,-88.494059037371,2.865289467773869e-07
KGM.AX,1,1.0,1,1,0.0,1.0,12.0,t,-876.9112920309883,1.999883599800023e-06
KGL.AX,1,1.0,0,0,0.0,0.0,12.0,ct,-526.4456303072873,3.604635344411911e-05
JYC.AX,0,0.0,0,1,0.0,1.0,12.0,ct,-271.33791753409923,0.030692585593572907
IPL.AX,1,1.0,0,0,1.0,0.0,12.0,t,-75.71160148120356,1.2466197518712365e-06
IPD.AX,0,0.0,1,0,1.0,1.0,12.0,c,-154.06801848845697,0.0029923089752021963
IGO.AX,1,1.0,1,1,1.0,0.0,12.0,ct,-20.616370607386628,0.0013778303068052722
HAW.AX,0,0.0,1,0,1.0,1.0,12.0,c,-471.80051681289285,7.950304838480473e-06
GXY.AX,0,1.0,1,0,1.0,1.0,12.0,t,-21.44814864629965,0.0023747171608006212
GUD.AX,0,0.0,1,1,1.0,0.0,12.0,c,171.02003034692063,0.0014793623302296055
GMG.AX,0,0.0,1,0,1.0,1.0,12.0,n,127.15979038247632,0.00028907385693877075
GEM.AX,0,0.0,1,0,0.0,1.0,12.0,ct,28.878802464225764,0.01800161820604318
GAP.AX,1,0.0,1,1,0.0,1.0,12.0,ct,-535.6295758452417,0.00017685966281433263
FMG.AX,0,1.0,0,0,1.0,0.0,12.0,c,32.17995946194835,0.0005250849946838443
EME.AX,0,0.0,1,1,0.0,0.0,12.0,n,-29.563929415721212,0.006991222587747472
ELD.AX,1,0.0,0,1,0.0,0.0,12.0,c,35.198623683943794,0.0014987728526438815
DMP.AX,1,0.0,0,1,1.0,0.0,12.0,c,303.4757548710681,0.008447297944123022
CTP.AX,0,0.0,0,0,1.0,0.0,12.0,c,-342.72719992511367,5.976667310017559e-05
CSL.AX,0,1.0,1,1,1.0,0.0,12.0,n,436.8663640664777,0.01877208396155084
CDD.AX,1,1.0,1,0,0.0,1.0,12.0,ct,-275.63523081811644,8.84575346858929e-05
BSE.AX,1,0.0,1,0,0.0,1.0,12.0,n,-491.57218745949456,7.321420323608274e-05
BPT.AX,0,0.0,1,0,1.0,0.0,12.0,ct,-42.01746187722511,0.002593268998539289
BOL.AX,1,0.0,1,1,0.0,0.0,12.0,ct,-35.5203544369186,0.00020648982312105352
BLY.AX,1,0.0,1,1,0.0,0.0,12.0,t,-83.97442175720606,2.381082867905671e-05
BKW.AX,1,0.0,1,1,1.0,1.0,12.0,t,75.6351731820651,0.048143090778545165
BKL.AX,1,1.0,0,0,0.0,0.0,12.0,ct,596.542555224865,0.04817930043935803
BFG.AX,1,1.0,0,1,1.0,1.0,12.0,ct,-246.85657542845752,3.490199496081203e-08
KKL.AX,0,0.0,0,1,0.0,0.0,12.0,ct,-616.4935113596778,2.5516054844966843e-06
AMC.AX,0,1.0,0,1,0.0,1.0,12.0,n,-13.039842235789967,0.0011703387874426596
ALU.AX,0,0.0,1,0,1.0,1.0,12.0,n,478.98095087360815,0.10204508573880844
AJL.AX,1,0.0,1,0,1.0,1.0,12.0,n,-303.88646079703165,2.399745714101731e-05
AGI.AX,0,1.0,1,1,0.0,0.0,12.0,t,-225.14906061668063,0.00011991088461005271
ABC.AX,0,0.0,1,0,1.0,0.0,12.0,n,81.77138540361291,0.025673203872859318
YPB.AX,0,1.0,0,0,0.0,1.0,12.0,t,-659.6265709608781,2.342696686103568e-05
YOW.AX,0,1.0,1,0,1.0,0.0,12.0,n,-21.27886732587353,0.0019293766149531461
MHI.AX,1,0.0,0,1,0.0,0.0,12.0,ct,-46.127435171567754,0.001381362927569644
FBU.AX,1,1.0,0,0,1.0,1.0,12.0,ct,-18.564028586855983,0.0036054050441185477
MVP.AX,1,0.0,0,1,1.0,0.0,12.0,t,60.91937806183064,0.0010141997823254199
DXS.AX,0,1.0,1,0,0.0,0.0,12.0,t,-68.6094320207805,0.0004061670513895166
DWS.AX,1,1.0,1,0,1.0,0.0,12.0,ct,-275.52577460872965,0.007407212436078114
DVN.AX,0,0.0,1,1,1.0,1.0,12.0,n,-314.492857833982,0.0008536999021750148
DVL.AX,0,0.0,0,0,0.0,1.0,12.0,t,-152.90276229097816,0.0050857441036363535
DTM.AX,0,0.0,1,1,0.0,0.0,12.0,c,-100.4992776736496,0.000277610067113204
DNA.AX,0,1.0,0,1,0.0,0.0,12.0,t,-27.36892310836721,0.0011643964185490258
DLX.AX,1,1.0,0,0,1.0,1.0,12.0,n,-11.689186170919859,0.0026896123822215397
DGR.AX,0,1.0,1,0,0.0,0.0,12.0,t,-664.3750386513444,4.386989665539076e-06
DCN.AX,1,1.0,1,1,0.0,1.0,12.0,ct,-112.741526750056,0.05882334422981584
DCG.AX,0,0.0,1,0,1.0,1.0,12.0,ct,-147.86221449026218,0.0005106163595202107
TDL.AX,1,0.0,0,0,1.0,0.0,12.0,t,-42.27971507810028,0.001101414846049997
IDX.AX,1,1.0,1,1,0.0,0.0,12.0,ct,-149.79962135675643,4.947910514463416e-05
ENE.AX,1,1.0,0,1,0.0,0.0,12.0,n,-29.744524213298263,0.002953674711545992
TWR.AX,0,1.0,0,0,1.0,0.0,12.0,t,-305.94754285732415,1.8333669949521788e-05
TME.AX,0,1.0,0,1,0.0,1.0,12.0,n,-115.97229747010216,0.006219746508683065
SKT.AX,0,1.0,0,1,0.0,1.0,12.0,n,-179.73981449764148,0.0009973173984336725
SKC.AX,1,0.0,1,1,1.0,0.0,12.0,c,-171.30460346934444,0.00017079821783116955
SXE.AX,1,1.0,0,1,0.0,0.0,12.0,ct,-391.9727666634026,0.00018571471119888103
SXA.AX,1,0.0,1,0,0.0,0.0,12.0,c,-771.3186849163519,4.262576230137928e-06
SER.AX,1,0.0,1,0,1.0,0.0,12.0,n,-74.49587549164742,0.00016093734914809208
RLE.AX,1,0.0,0,1,1.0,0.0,12.0,t,-475.78352969517783,2.8378992312769188e-05
QTM.AX,0,0.0,1,1,0.0,0.0,12.0,t,-72.16580916393579,0.0016997725166612945
POW.AX,1,1.0,1,1,1.0,0.0,12.0,t,-550.818830170615,6.301768163581578e-07
PEN.AX,0,1.0,1,0,0.0,1.0,12.0,c,-423.8878173313494,3.084197758157492e-05
PEA.AX,0,0.0,0,1,0.0,1.0,12.0,ct,-368.2059786563385,0.0018192014591233985
MCE.AX,1,0.0,0,1,1.0,0.0,12.0,ct,-274.3489793782606,0.00011055978446988798
IEM.AX,0,0.0,0,0,1.0,1.0,12.0,c,360.23120258376366,0.00027037693912035365
ICN.AX,1,0.0,1,0,1.0,1.0,12.0,ct,-722.1595512971545,1.313675778991108e-07
FPH.AX,1,0.0,0,1,0.0,0.0,12.0,ct,71.34042911238967,0.006531571290942395
EVN.AX,1,0.0,0,0,0.0,0.0,12.0,ct,-161.52169319658438,0.0005737875131583968
ERX.AX,1,1.0,0,1,0.0,0.0,12.0,n,-220.383694118906,0.000759310123920276
EPD.AX,0,0.0,1,0,0.0,1.0,12.0,n,-63.33951483708518,0.03421738948400932
EFE.AX,1,0.0,1,1,1.0,1.0,12.0,c,-722.3581433286407,8.005974669805968e-06
ECX.AX,1,0.0,0,1,0.0,0.0,12.0,c,-41.569285379561435,0.0002824152548288605
CUE.AX,1,0.0,0,1,1.0,1.0,12.0,n,-619.7608117005423,6.132375679451796e-06
CNU.AX,0,1.0,0,1,0.0,0.0,12.0,c,-155.92243762887838,0.00012643832524883436
BKY.AX,1,1.0,1,1,1.0,1.0,12.0,ct,-191.04135764782737,9.471819859252496e-05
AJQ.AX,0,0.0,0,1,1.0,1.0,12.0,c,-422.547517448172,0.0002787724725881041
AIA.AX,0,0.0,1,1,1.0,0.0,12.0,t,-4.625849969791102,0.0011576042740770733
AEF.AX,0,1.0,1,1,0.0,1.0,12.0,t,-42.56896283866631,0.0002525786054676793
AEE.AX,1,0.0,1,1,1.0,1.0,12.0,t,-650.7329055030858,6.944600893203297e-06
88E.AX,1,1.0,0,1,1.0,1.0,12.0,t,-603.7656096827524,4.2312466019059375e-06
