,p1,p2,p3,p4,p5,p6,p7,trend,aic,mse
XRO.AX,0,0.0,1,1,1.0,1.0,12.0,c,356.32854877587675,0.022598540095842168
RFG.AX,1,0.0,0,0,1.0,0.0,12.0,t,5.28718089683138,6.545248115025215e-06
RFF.AX,1,1.0,1,0,1.0,1.0,12.0,ct,-206.36991037924253,7.446573981129134e-05
PGI.AX,0,0.0,0,0,0.0,1.0,12.0,n,-401.2681948013337,5.616303441344229e-05
JBH.AX,1,0.0,1,0,1.0,1.0,12.0,t,148.7964494552035,0.0021558168229489643
FWD.AX,1,0.0,1,1,0.0,1.0,12.0,n,-152.5131408149197,0.00026268025457665267
FSA.AX,0,1.0,0,0,1.0,1.0,12.0,t,-246.8891154111914,5.166883493323837e-05
FNP.AX,1,0.0,0,0,1.0,0.0,12.0,n,15.043054828228,0.0011740434798106492
FLT.AX,0,1.0,0,0,0.0,0.0,12.0,t,361.8953617940865,0.09691202433452872
FLN.AX,0,0.0,0,1,0.0,0.0,12.0,t,-103.22245213704669,0.003109874926226497
FFG.AX,0,1.0,1,1,0.0,0.0,12.0,ct,-63.691461393730094,0.00014170093668027152
SVW.AX,0,0.0,1,1,0.0,0.0,12.0,ct,286.72015784584875,0.14344171610834167
SUN.AX,0,0.0,0,0,0.0,1.0,12.0,ct,166.54278670102826,0.008139542860835292
SKI.AX,1,0.0,1,1,0.0,0.0,12.0,t,-231.01174777726814,0.0006636948351324001
SGH.AX,1,1.0,1,0,1.0,1.0,12.0,c,44.97593135494975,0.00015721511295985202
PRT.AX,0,1.0,1,0,0.0,0.0,12.0,ct,-533.2529987370926,1.6687553395511312e-05
PGR.AX,0,1.0,0,0,1.0,0.0,12.0,n,-27.557128520357605,0.003140235316849143
NGY.AX,1,0.0,0,1,0.0,1.0,12.0,ct,-676.4494971672758,0.00017521770079273816
MNF.AX,1,0.0,1,1,0.0,1.0,12.0,ct,-15.357161519378073,0.0007520021956572973
MGX.AX,0,1.0,0,1,0.0,1.0,12.0,n,-341.4869392373985,1.5514870424171434e-05
MGR.AX,1,0.0,1,1,1.0,0.0,12.0,t,-205.16823278937562,1.9806668770883107e-05
LNG.AX,0,1.0,0,1,1.0,0.0,12.0,ct,-228.32915912006703,0.003712665037504615
VRT.AX,0,1.0,0,0,0.0,0.0,12.0,n,-158.34137087608138,0.0014999985694883478
TTA.AX,0,1.0,0,1,0.0,0.0,12.0,t,-75.60956364615515,0.0003302439508489765
TAH.AX,1,1.0,1,0,1.0,0.0,12.0,n,-64.7804214018571,0.001114500077262548
SHL.AX,1,1.0,0,0,1.0,0.0,12.0,t,122.94437147976211,0.012712928643150434
RAP.AX,1,0.0,1,0,1.0,1.0,12.0,ct,-307.9358957402613,0.00026581389036500763
QUB.AX,1,0.0,1,0,1.0,0.0,12.0,n,-204.178504357888,0.007676555093130144
OLV.AX,0,0.0,1,1,0.0,0.0,12.0,t,-521.8572481530022,1.1508071392996033e-05
OLH.AX,0,0.0,1,0,0.0,0.0,12.0,ct,-207.16915833128394,2.623837202510998e-05
KAM.AX,1,0.0,0,0,1.0,0.0,12.0,ct,-38.64685825621064,0.0014134623236418654
JHC.AX,1,1.0,0,1,1.0,1.0,12.0,c,-167.474141249578,0.0006034486213792878
HTA.AX,0,0.0,0,0,1.0,1.0,12.0,t,-282.9150302406352,6.840307107264243e-06
HSN.AX,0,0.0,0,1,1.0,1.0,12.0,n,104.17517652810923,0.004278508442528306
HNG.AX,0,0.0,0,1,1.0,1.0,12.0,n,-298.9129923635759,1.4255847370747698e-05
GLH.AX,0,1.0,0,0,1.0,0.0,12.0,n,-395.02654541833397,2.9802323386896035e-09
GBT.AX,1,1.0,1,1,0.0,1.0,12.0,c,-157.52578146083724,0.0011604209895237359
CHC.AX,1,0.0,0,1,0.0,0.0,12.0,n,-83.44648698859348,5.530001068265732e-05
VIG.AX,0.0,1.0,0,0,0.0,0.0,12.0,n,18.346534805383566,0.0
VAH.AX,0,1.0,0,0,0.0,1.0,12.0,ct,-549.950139265727,1.26323306545717e-05
TBH.AX,1,1.0,0,0,1.0,1.0,12.0,ct,-342.7717492487226,7.434173557967909e-05
SPO.AX,0,1.0,1,0,1.0,1.0,12.0,t,-231.0132173286697,7.520835149676941e-05
SPL.AX,1,1.0,0,0,1.0,1.0,12.0,t,-138.50531873063932,1.6619740354384405e-05
SOL.AX,0,1.0,1,1,1.0,0.0,12.0,t,186.47930051127184,0.007464997504953884
SHM.AX,1,0.0,1,1,1.0,1.0,12.0,t,-156.97835379344647,0.001768394525998973
SAR.AX,0,1.0,1,1,1.0,0.0,12.0,t,-98.977416371631,0.0013965491065701665
RHI.AX,0,1.0,0,0,0.0,1.0,12.0,n,-383.306762866494,8.591766187393546e-12
REX.AX,1,0.0,1,1,1.0,1.0,12.0,t,-229.37253282740085,0.0010208851914508266
REG.AX,0,0.0,0,1,0.0,0.0,12.0,c,71.13595577321377,0.007550629400709496
JAL.AX,1,1.0,1,1,0.0,0.0,12.0,t,-30.052423650403558,0.0010313258567006597
JRL.AX,0,0.0,0,0,1.0,0.0,12.0,t,-26.958771588714534,0.009458428506312762
JIN.AX,0,0.0,1,1,0.0,1.0,12.0,n,240.08647858070998,0.04784176387754613
JHX.AX,0,0.0,1,1,0.0,1.0,12.0,ct,247.85310928645518,0.1535481107588268
JAT.AX,1,0.0,0,1,1.0,0.0,12.0,n,-335.7851920280068,1.3026978554243895e-05
KSN.AX,0,1.0,0,0,1.0,0.0,12.0,t,-55.06624113229065,0.00017480762573912132
KSC.AX,1,0.0,0,0,1.0,1.0,12.0,ct,-163.06581287219558,4.756426654628498e-05
KOR.AX,0,1.0,1,0,1.0,0.0,12.0,ct,-38.70856062606271,0.000302535113457885
KIS.AX,0,0.0,1,0,0.0,1.0,12.0,ct,-550.1139838091287,7.742239482631808e-05
KSL.AX,0,1.0,1,1,1.0,0.0,12.0,n,-270.2502953330506,1.6602508061902554e-05
KRM.AX,0,0.0,1,0,0.0,0.0,12.0,ct,-142.91898800946637,0.000988912296349936
KNM.AX,0,0.0,1,1,0.0,0.0,12.0,t,-55.875464891644256,0.002426526520697826
KNL.AX,0,0.0,1,1,1.0,1.0,12.0,c,-367.98567189183586,4.615165264737486e-05
KFE.AX,1,0.0,1,1,0.0,0.0,12.0,ct,-458.21729931798217,1.0740988244578586e-05
KDR.AX,0,0.0,0,0,0.0,0.0,12.0,n,2.0,1.9049999713897705
KCN.AX,0,1.0,1,1,0.0,1.0,12.0,ct,-422.8565794319178,0.00026501035990905697
KAT.AX,0,0.0,0,1,0.0,0.0,12.0,t,-11.213128810293417,0.02933134380631818
KAR.AX,0,0.0,0,0,1.0,1.0,12.0,c,-125.27782484029234,2.7877697946210308e-05
KEY.AX,0,0.0,0,0,0.0,0.0,12.0,ct,-198.26355176951336,0.0006438678545689598
OSH.AX,0,0.0,1,1,1.0,1.0,12.0,ct,69.46479794898963,0.02744530152588709
WWI.AX,1,1.0,1,0,0.0,0.0,12.0,c,-163.9593902764735,0.00010841344849684228
WGO.AX,0,1.0,0,0,0.0,0.0,12.0,n,18.346534809933566,0.004326918278219126
WCN.AX,1,0.0,0,0,0.0,0.0,12.0,n,-86.78431838974467,0.00034066403121003035
WAA.AX,1,0.0,1,1,1.0,1.0,12.0,ct,-324.81303761552965,0.0005463802232926751
VML.AX,0,0.0,1,1,1.0,0.0,12.0,n,-748.8405074961446,0.0002676015501334017
VAN.AX,1,0.0,0,0,0.0,0.0,12.0,t,-89.64666180922855,0.014978117973649785
TWD.AX,1,0.0,1,1,0.0,1.0,12.0,n,-179.64440432587506,0.0006648180792994117
TMX.AX,1,1.0,1,0,0.0,0.0,12.0,ct,-201.0031930434924,0.00011376502729433909
TIG.AX,0,0.0,1,0,0.0,0.0,12.0,c,-149.52252455602311,0.0030270555114958555
TAP.AX,1,1.0,0,0,0.0,0.0,12.0,ct,-136.87894401929304,0.00013022112976484974
SYD.AX,1,0.0,0,1,0.0,1.0,12.0,ct,-96.65878944569992,0.04062015142474529
SST.AX,0,1.0,0,0,0.0,0.0,12.0,n,19.203338812126447,4.915605700261949e-10
SNL.AX,1,1.0,0,0,0.0,0.0,12.0,t,-60.06955454566258,2.745664112913105e-05
SMX.AX,0,0.0,0,0,0.0,0.0,12.0,t,-7.550846843152069,0.009175321704297487
SLX.AX,0,0.0,1,0,0.0,1.0,12.0,t,-179.12752017176777,0.0008184120991734932
RND.AX,1,1.0,1,0,0.0,0.0,12.0,n,-63.268023513803904,0.0005898933507579862
OSL.AX,1,0.0,1,1,0.0,1.0,12.0,t,-409.4925780071977,0.000696187220467992
