Date,REA.AX,CPU.AX,DWS.AX,EPD.AX,RAP.AX,GLH.AX,GBT.AX,ADJ.AX,ALC.AX,ICQ.AX,SEK.AX,PME.AX,DTL.AX,CNW.AX,CAR.AX,1ST.AX,ONE.AX,JHL.AX,LAA.AX,MDR.AX,NEA.AX,RNT.AX
2017-05-03,62.51261520385742,14.029508590698242,1.3685094118118286,0.4399999976158142,0.3050000071525574,0.3499999940395355,2.7533974647521973,0.06300000101327896,0.059999998658895486,0.2728700041770935,16.768430709838867,5.426438808441162,1.5253894329071045,0.017999999225139618,11.07624340057373,0.04199999943375588,4.949999809265137,0.023000000044703484,0.1850000023841858,0.03099999949336052,0.4950000047683716,0.07699999958276749
2017-05-04,62.57101058959961,14.344242095947266,1.3728675842285156,0.4399999976158142,0.3050000071525574,0.3499999940395355,2.7726521492004395,0.06300000101327896,0.059999998658895486,0.2728700041770935,16.83512306213379,5.426438808441162,1.5208896398544312,0.017000000923871994,11.03866481781006,0.04199999943375588,4.980000019073486,0.023000000044703484,0.17499999701976776,0.03099999949336052,0.4900000095367432,0.07900000363588333
2017-05-05,61.9870491027832,14.17257022857666,1.3336427211761477,0.4449999928474426,0.3050000071525574,0.3499999940395355,2.7822794914245605,0.06499999761581421,0.06199999898672104,0.2679100036621094,16.758901596069336,5.475769996643066,1.5253894329071045,0.017999999225139618,10.831982612609863,0.04199999943375588,4.900000095367432,0.023000000044703484,0.15000000596046448,0.029999999329447743,0.4900000095367432,0.07999999821186066
2017-05-08,61.54908752441406,14.38239288330078,1.3510758876800537,0.4449999928474426,0.3050000071525574,0.3499999940395355,2.724515438079834,0.06400000303983687,0.059999998658895486,0.2728700041770935,16.863704681396484,5.426438808441162,1.5163898468017578,0.017999999225139618,10.94471836090088,0.04199999943375588,4.980000019073486,0.02199999988079071,0.119999997317791,0.02800000086426735,0.4850000143051148,0.07999999821186066
2017-05-09,63.13550186157226,14.42054271697998,1.3859425783157349,0.4399999976158142,0.30000001192092896,0.3499999940395355,2.7726521492004395,0.06499999761581421,0.059999998658895486,0.2728700041770935,17.006620407104492,5.3968400955200195,1.5253894329071045,0.017999999225139618,11.170188903808594,0.04100000113248825,4.980000019073486,0.02199999988079071,0.125,0.02800000086426735,0.5,0.07900000363588333
2017-05-10,63.89464950561523,14.534991264343262,1.3510758876800537,0.44999998807907104,0.3050000071525574,0.3499999940395355,2.7726521492004395,0.06199999898672104,0.059999998658895486,0.27783000469207764,17.330554962158207,5.426438808441162,1.4713932275772097,0.017000000923871994,11.226555824279783,0.04100000113248825,4.980000019073486,0.02199999988079071,0.125,0.02800000086426735,0.4950000047683716,0.08399999886751175
2017-05-11,62.3471565246582,14.525453567504885,1.3685094118118286,0.44999998807907104,0.2949999868869781,0.3499999940395355,2.878551959991455,0.06400000303983687,0.059999998658895486,0.2877599895000458,17.482994079589847,5.4659037590026855,1.5208896398544312,0.016000000759959214,11.254739761352539,0.03999999910593033,4.980000019073486,0.019999999552965164,0.119999997317791,0.029999999329447743,0.4950000047683716,0.08500000089406967
2017-05-12,61.24737167358398,14.201183319091795,1.3815842866897583,0.4399999976158142,0.30000001192092896,0.3499999940395355,2.7726521492004395,0.061000000685453415,0.06300000101327896,0.28279000520706177,17.025671005249027,5.4067063331604,1.4848922491073608,0.017000000923871994,10.97290325164795,0.03999999910593033,4.980000019073486,0.019999999552965164,0.125,0.029999999329447743,0.4850000143051148,0.09000000357627869
2017-05-15,60.91646194458008,14.344242095947266,1.390300750732422,0.44999998807907104,0.2949999868869781,0.35499998927116394,2.7822794914245605,0.0560000017285347,0.06700000166893005,0.27783000469207764,17.14000129699707,5.3968400955200195,1.4938915967941284,0.017999999225139618,10.94471836090088,0.03999999910593033,4.900000095367432,0.019999999552965164,0.11500000208616255,0.029999999329447743,0.4699999988079071,0.0949999988079071
2017-05-16,61.850791931152344,14.353781700134276,1.4338840246200562,0.4399999976158142,0.2949999868869781,0.35499998927116394,2.7726521492004395,0.059999998658895486,0.06599999964237213,0.2728700041770935,17.159059524536133,5.209381580352783,1.4938915967941284,0.017999999225139618,10.991691589355467,0.0430000014603138,4.900000095367432,0.019999999552965164,0.13500000536441806,0.029999999329447743,0.5,0.09700000286102296
2017-05-17,60.44929885864258,14.019970893859865,1.4382421970367432,0.4399999976158142,0.3050000071525574,0.35499998927116394,2.7822794914245605,0.05700000002980232,0.06300000101327896,0.2728700041770935,16.968507766723633,5.229114055633545,1.4668935537338257,0.017000000923871994,10.935323715209961,0.045000001788139336,4.75,0.019999999552965164,0.12999999523162842,0.03099999949336052,0.5,0.10000000149011612
2017-05-18,61.88972473144531,13.70523738861084,1.4033757448196411,0.44999998807907104,0.30000001192092896,0.3700000047683716,2.7822794914245605,0.059999998658895486,0.06499999761581421,0.27783000469207764,16.978033065795902,5.100852489471436,1.4398955106735232,0.017999999225139618,10.869561195373537,0.045000001788139336,4.75,0.024000000208616257,0.119999997317791,0.03099999949336052,0.5049999952316284,0.0989999994635582
2017-05-19,60.97485733032226,13.80061149597168,1.4120923280715942,0.4550000131130218,0.3100000023841858,0.3700000047683716,2.7822794914245605,0.06300000101327896,0.06400000303983687,0.2679100036621094,16.83512306213379,5.110718250274658,1.4668935537338257,0.01899999938905239,10.756826400756836,0.045000001788139336,4.599999904632568,0.02500000037252903,0.13500000536441806,0.03099999949336052,0.5099999904632568,0.10000000149011612
